axis_key,exposure_axis,primary_biomarker,biological_matrix,eligible_chemical_count,eligible_chemical_ids,mapping_confidence,primary_OR,primary_CI_low,primary_CI_high,primary_P,primary_BH_FDR_15axis,F,L,C,H,D,T,A,E,F_note,L_note,C_note,H_note,D_note,T_note,A_note,E_note,timing_max_abs_logOR_delta,tail_max_abs_logOR_delta,robustness_fingerprint,robustness_tier
serum_or_blood|LBXPFDE,PFAS exposure axis,LBXPFDE,serum_or_blood,1,C036567,high,0.7160906892378576,0.3850474840467024,1.3317471129118044,0.286125275339081,0.5429380169393214,0,1,0,1,2,2,1,1,P>=0.05,same_direction_some_CI_cross_1,2/4 same direction,Pinteraction=0.0633,direction_preserved_comparable,direction_preserved_comparable,localized warning; primary/sensitivity fit otherwise estimable,32 CRC cases,0.06071683026609028,0.015427481026278137,F0 | L1 | C0 | H1 | D2 | T2 | A1 | E1,Exploratory
serum_or_blood|LBXPFHS,PFAS exposure axis,LBXPFHS,serum_or_blood,1,C471071,high,0.624413716483948,0.47070160007064754,0.8283219969398389,0.001460080653924818,0.0219012098088722,2,2,2,1,2,2,0,1,BH-FDR<0.05,same_direction_all_CI_exclude_1,4/4 same direction,Pinteraction=0.06704,direction_preserved_comparable,direction_preserved_comparable,persistent technical warning or fit failure,32 CRC cases,0.037156652914278845,0.01917043479908061,F2 | L2 | C2 | H1 | D2 | T2 | A0 | E1,Tier B
serum_or_blood|LBXPFNA,PFAS exposure axis,LBXPFNA,serum_or_blood,1,C101816,high,0.8058544847269591,0.5554259056818641,1.169195465878244,0.2507490623535631,0.5429380169393214,0,1,1,0,2,2,0,1,P>=0.05,same_direction_some_CI_cross_1,3/4 same direction,Pinteraction=0.001113,direction_preserved_comparable,direction_preserved_comparable,persistent technical warning or fit failure,32 CRC cases,0.05092924804283189,0.03289837910984746,F0 | L1 | C1 | H0 | D2 | T2 | A0 | E1,Exploratory
urine|URXBPH,bisphenol exposure axis,URXBPH,urine,17,C008745;C517113;C047969;C000705701;C000730470;C000730511;C512161;C534679;D017438;C019273;C047971;C543008;C006780;C000611646;C000655605;C583074;C492482,high,1.0613167813050879,0.9180985815069134,1.2268762123899544,0.41519043469723427,0.6227856520458468,0,1,1,2,2,2,0,1,P>=0.05,same_direction_some_CI_cross_1,3/4 same direction,Pinteraction=0.4032,direction_preserved_comparable,direction_preserved_comparable,persistent technical warning or fit failure,45 CRC cases,0.039025445930465905,0.024381562301907158,F0 | L1 | C1 | H2 | D2 | T2 | A0 | E1,Exploratory
urine|URXCOP,DINP-related exposure axis,URXCOP,urine,3,C573544;C019174;C012125,high,1.245506776277735,1.0775254462916746,1.4396756337333299,0.003311358522765903,0.0248351889207422,2,2,2,0,2,2,1,2,BH-FDR<0.05,same_direction_all_CI_exclude_1,6/7 same direction,Pinteraction=0.005981,direction_preserved_comparable,direction_preserved_comparable,localized warning; primary/sensitivity fit otherwise estimable,70 CRC cases,0.015139725326626571,0.04258828299819674,F2 | L2 | C2 | H0 | D2 | T2 | A1 | E2,Robust Tier A
urine|URXECP,DEHP-related exposure axis;phthalate exposure axis,URXECP,urine,2,C051450;D004051,moderate,1.210931012364846,0.9873552950058297,1.4851329851816848,0.06584419117266202,0.2469157168974887,0,1,1,0,2,2,1,2,P>=0.05,same_direction_some_CI_cross_1,6/8 same direction,Pinteraction=0.02972,direction_preserved_comparable,direction_preserved_comparable,localized warning; primary/sensitivity fit otherwise estimable,85 CRC cases,0.027124762113275663,0.09517177323877844,F0 | L1 | C1 | H0 | D2 | T2 | A1 | E2,Exploratory
urine|URXMBP,phthalate exposure axis,URXMBP,urine,1,C028577,high,0.8954105062316062,0.6900632810183462,1.161864421313305,0.40344269354915646,0.6227856520458468,0,0,1,0,2,2,1,2,P>=0.05,direction_instability,6/10 same direction,Pinteraction=0.005541,direction_preserved_comparable,direction_preserved_comparable,localized warning; primary/sensitivity fit otherwise estimable,104 CRC cases,0.08840200867408254,0.015884751500529645,F0 | L0 | C1 | H0 | D2 | T2 | A1 | E2,Exploratory
urine|URXMEP,phthalate exposure axis,URXMEP,urine,1,C581825,high,0.9329209184301188,0.8340638271789578,1.0434950080358238,0.22258550929532359,0.5429380169393214,0,1,0,0,2,2,1,2,P>=0.05,same_direction_some_CI_cross_1,5/10 same direction,Pinteraction=0.03606,direction_preserved_comparable,direction_preserved_comparable,localized warning; primary/sensitivity fit otherwise estimable,104 CRC cases,0.047993677474933556,0.01135293121060462,F0 | L1 | C0 | H0 | D2 | T2 | A1 | E2,Exploratory
urine|URXMHP,DEHP-related exposure axis,URXMHP,urine,1,C016599,high,1.0929315586759332,0.926512596056465,1.2892424744509439,0.28956694236763714,0.5429380169393214,0,1,1,0,2,2,1,2,P>=0.05,same_direction_some_CI_cross_1,6/10 same direction,Pinteraction=0.009435,direction_preserved_comparable,direction_preserved_comparable,localized warning; primary/sensitivity fit otherwise estimable,104 CRC cases,0.03841175401008934,0.01846464791381756,F0 | L1 | C1 | H0 | D2 | T2 | A1 | E2,Exploratory
urine|URXMIB,phthalate exposure axis,URXMIB,urine,1,C575690,high,0.9658530593451338,0.8218167063958475,1.135134057249275,0.6712276393083558,0.7527775981776064,0,0,1,0,2,2,1,2,P>=0.05,direction_instability,6/9 same direction,Pinteraction=0.01123,direction_preserved_comparable,direction_preserved_comparable,localized warning; primary/sensitivity fit otherwise estimable,97 CRC cases,0.0842823386676555,0.018705567975550532,F0 | L0 | C1 | H0 | D2 | T2 | A1 | E2,Exploratory
urine|URXMOH,phthalate exposure axis,URXMOH,urine,1,C080276,high,1.203680690724304,1.0225988590287276,1.4168284977343555,0.026138270093987993,0.1306913504699343,1,1,1,0,2,2,1,2,nominal_P<0.05,same_direction_some_CI_cross_1,7/9 same direction,Pinteraction=0.005432,direction_preserved_comparable,direction_preserved_comparable,localized warning; primary/sensitivity fit otherwise estimable,97 CRC cases,0.018915598004770766,0.10030747823902976,F1 | L1 | C1 | H0 | D2 | T2 | A1 | E2,Tier B
urine|URXMZP,phthalate exposure axis,URXMZP,urine,2,C027561;C103325,moderate,0.9545082278876243,0.8005459100729012,1.1380808341425486,0.6017916257846536,0.7527775981776064,0,1,1,0,2,2,1,2,P>=0.05,same_direction_some_CI_cross_1,7/10 same direction,Pinteraction=0.03977,direction_preserved_comparable,direction_preserved_comparable,localized warning; primary/sensitivity fit otherwise estimable,104 CRC cases,0.01610749521976791,0.02447405152549115,F0 | L1 | C1 | H0 | D2 | T2 | A1 | E2,Exploratory
urine|URXP02,PAH exposure axis,URXP02,urine,11,C031721;C018520;C025968;C027384;C028519;C031969;C042552;C042553;C065012;C117619;C466921,moderate,1.0029716593613567,0.7780067220044334,1.2929864498990036,0.9815429145538688,0.9815429145538904,0,0,0,2,0,2,2,2,P>=0.05,direction_instability,3/6 same direction,Pinteraction=0.5418,direction_instability,direction_preserved_comparable,no meaningful warning,71 CRC cases,0.03286163766647213,0.03303782123657112,F0 | L0 | C0 | H2 | D0 | T2 | A2 | E2,Exploratory
urine|URXP04,PAH exposure axis,URXP04,urine,5,C041509;C041511;C041512;C041513;C053036,moderate,0.9542162062587299,0.7483935778510239,1.2166440162425523,0.7025924249657693,0.7527775981776064,0,0,1,2,2,2,1,2,P>=0.05,direction_instability,4/6 same direction,Pinteraction=0.742,direction_preserved_comparable,direction_preserved_comparable,localized warning; primary/sensitivity fit otherwise estimable,70 CRC cases,0.05427924464936509,0.10658886843718954,F0 | L0 | C1 | H2 | D2 | T2 | A1 | E2,Exploratory
