screen_rank,axis_key,exposure_axis,primary_biomarker,biological_matrix,eligible_chemical_count,n_cycles_available,fit_N,fit_crc_cases,OR,CI_low,CI_high,P,BH_FDR,status,message
1,serum_or_blood|LBXPFHS,PFAS exposure axis,LBXPFHS,serum_or_blood,1,8,5322,32,0.624413716483948,0.4707016000706475,0.8283219969398388,0.0014600806539248,0.0219012098088722,converged_with_warning,Newton-IRLS stopped before tolerance
2,urine|URXCOP,DINP-related exposure axis,URXCOP,urine,3,7,9936,70,1.2455067762777354,1.077525446295457,1.4396756337282768,0.0033113585227656,0.0248351889207422,ok,Newton-IRLS converged
3,urine|URXMOH,phthalate exposure axis,URXMOH,urine,1,9,12603,97,1.2036806907243045,1.022598859029927,1.4168284977326937,0.0261382700939868,0.1306913504699343,ok,Newton-IRLS converged
4,urine|URXECP,DEHP-related exposure axis;phthalate exposure axis,URXECP,urine,2,8,11224,85,1.210931012364846,0.9873552950083916,1.485132985177831,0.0658441911726636,0.2469157168974887,ok,Newton-IRLS converged
5,urine|URXMEP,phthalate exposure axis,URXMEP,urine,1,10,13775,104,0.9329209184301188,0.834063827179375,1.0434950080353018,0.2225855092953164,0.5429380169393214,ok,Newton-IRLS converged
6,serum_or_blood|LBXPFNA,PFAS exposure axis,LBXPFNA,serum_or_blood,1,8,5322,32,0.8058544847269594,0.5554259056818647,1.169195465878244,0.2507490623535636,0.5429380169393214,converged_with_warning,Newton-IRLS stopped before tolerance
7,serum_or_blood|LBXPFDE,PFAS exposure axis,LBXPFDE,serum_or_blood,1,8,5322,32,0.7160906892378576,0.3850474840467043,1.3317471129117977,0.2861252753390773,0.5429380169393214,ok,Newton-IRLS converged
8,urine|URXMHP,DEHP-related exposure axis,URXMHP,urine,1,10,13779,104,1.092931558675933,0.926512596057146,1.2892424744499962,0.2895669423676381,0.5429380169393214,ok,Newton-IRLS converged
9,urine|URXMBP,phthalate exposure axis,URXMBP,urine,1,10,13779,104,0.8954105062316059,0.6900632810191458,1.161864421311958,0.4034426935491557,0.6227856520458468,ok,Newton-IRLS converged
10,urine|URXBPH,bisphenol exposure axis,URXBPH,urine,17,5,5751,45,1.0613167813050883,0.9180985815069136,1.226876212389955,0.4151904346972311,0.6227856520458468,converged_with_warning,Newton-IRLS stopped before tolerance
11,urine|URXMZP,phthalate exposure axis,URXMZP,urine,2,10,13779,104,0.954508227887624,0.8005459100735269,1.1380808341416584,0.6017916257846533,0.7527775981776064,ok,Newton-IRLS converged
12,urine|URXP10,PAH exposure axis,URXP10,urine,39,9,8265,70,1.0721174282673351,0.8179168678327421,1.4053210359143928,0.6106236812482614,0.7527775981776064,ok,Newton-IRLS converged
13,urine|URXMIB,phthalate exposure axis,URXMIB,urine,1,9,12603,97,0.965853059345134,0.821816706396802,1.1351340572479565,0.6712276393083552,0.7527775981776064,ok,Newton-IRLS converged
14,urine|URXP04,PAH exposure axis,URXP04,urine,5,9,8290,70,0.9542162062587308,0.7483935778510306,1.2166440162425438,0.702592424965766,0.7527775981776064,ok,Newton-IRLS converged
15,urine|URXP02,PAH exposure axis,URXP02,urine,11,8,8301,71,1.0029716593613531,0.7780067220044365,1.2929864498989891,0.9815429145538904,0.9815429145538904,ok,Newton-IRLS converged
