Analysis,analysis_family,Dropped_cycle,Sex_group,N,CRC_N,Control_N,OR,CI_low,CI_high,P,MCOP_BH_FDR,Secondary_exposure,Secondary_OR,Secondary_CI_low,Secondary_CI_high,Secondary_P,Excluded_known_timing_CRC_N,Exposure,Excluded_fraction,Normalization,Burden_definition
LOCO_drop_2005-2006,LOCO,2005-2006,,8650,64,8586,1.1967591202504888,1.0270847691079252,1.3944636654934426,0.0218041059293892,,,,,,,,,,,
LOCO_drop_2007-2008,LOCO,2007-2008,,8460,57,8403,1.2644492997005583,1.0861065777532517,1.472076556999239,0.0028517759367674,,,,,,,,,,,
LOCO_drop_2009-2010,LOCO,2009-2010,,8362,54,8308,1.2177555500704949,1.0522949719389634,1.4092327904931854,0.0087339166469412,,,,,,,,,,,
LOCO_drop_2011-2012,LOCO,2011-2012,,8521,60,8461,1.3348787206389714,1.1218400250817335,1.5883737065673988,0.001379315603625,,,,,,,,,,,
LOCO_drop_2013-2014,LOCO,2013-2014,,8452,63,8389,1.260707006974401,1.0765618419675342,1.476350076210748,0.0044699111513667,,,,,,,,,,,
LOCO_drop_2015-2016,LOCO,2015-2016,,8559,61,8498,1.2334933179476826,1.0528227940039112,1.4451679561716728,0.0099533815075274,,,,,,,,,,,
LOCO_drop_2017-2018,LOCO,2017-2018,,8612,61,8551,1.2167371196226022,1.0386265510476551,1.4253912696283255,0.0156812738034227,,,,,,,,,,,
Age_ge_40_7_cycle,age_restriction,,,6178,69,6109,1.2214447837346922,1.0482224303526195,1.4232927253911254,0.0108404875944372,,,,,,,,,,,
Female_MCOP_primary,sex_specific,,Female,5065,33,5032,1.137324575386648,0.946248266252126,1.3669850037366058,0.1683915667638515,,,,,,,,,,,
Male_MCOP_primary,sex_specific,,Male,4871,37,4834,1.3520268042925945,1.0905464372751712,1.676202330359273,0.0063811183063933,,,,,,,,,,,
MCOP_x_sex_interaction,sex_interaction,,,9936,70,9866,1.1339156680359923,0.8844786605625807,1.4536978669442275,0.3182594699532236,,,,,,,,,,,
Primary_all_cases,diagnosis_timing,,,9936,70,9866,1.245506776277735,1.0775254462916746,1.43967563373333,0.0033113585227659,,,,,,,0.0,,,,
Exclude_diagnosis_lt_1y,diagnosis_timing,,,9928,62,9866,1.2412252643184891,1.062415571319018,1.4501294958146718,0.0069115721746266,,,,,,,9.0,,,,
Exclude_diagnosis_lt_2y,diagnosis_timing,,,9921,55,9866,1.2629364652965431,1.0712688825566696,1.4888965238765357,0.0058580775539836,,,,,,,17.0,,,,
Exclude_diagnosis_lt_5y,diagnosis_timing,,,9910,44,9866,1.2645068719596275,1.058597981928688,1.5104672940334745,0.0101307328540871,,,,,,,29.0,,,,
Descriptive_CRC_interval_le_5y,diagnosis_timing,,,34,34,0,,,,,,,,,,,,,,,
Descriptive_CRC_interval_gt_5y,diagnosis_timing,,,39,39,0,,,,,,,,,,,,,,,
Exclude_top_1pct,tail_exclusion,,,9835,70,9765,1.2707869613480829,1.0830711355709868,1.4910373364173632,0.0036468870532694,,,,,,,,mcop_log2,0.01,,
Exclude_top_2.5pct,tail_exclusion,,,9685,67,9618,1.193576441968001,1.0182312195906813,1.3991171115276526,0.0293862478090823,,,,,,,,mcop_log2,0.025,,
Creatinine_normalized_MCOP,creatinine_normalization,,,9936,70,9866,1.2439982861708034,1.0747365596014322,1.4399172729080705,0.0037898999093102,,,,,,,,mcop_creatinine_norm_log2,,log2(MCOP) - log2(urine creatinine),
MCOP_alone_same_CC_None,coexposure,,,9936,70,9866,1.245506776277735,1.0775254462916746,1.43967563373333,0.0033113585227659,,,,,,,,,,,mean z-score of 9 non-MCOP phthalate metabolites; minimum 2 measured
MCOP_alone_same_CC_MEHHP,coexposure,,,9936,70,9866,1.245506776277735,1.0775254462916746,1.43967563373333,0.0033113585227659,,MEHHP,,,,,,,,,mean z-score of 9 non-MCOP phthalate metabolites; minimum 2 measured
MCOP_plus_MEHHP,coexposure,,,9936,70,9866,1.2223175940594253,1.0574108699698832,1.412942067438531,0.0070709524035637,0.0097986871609451,MEHHP,1.1835186506433777,0.96445626358362,1.4523379123653508,0.1056650261239735,,,,,mean z-score of 9 non-MCOP phthalate metabolites; minimum 2 measured
MCOP_alone_same_CC_MEOHP,coexposure,,,9936,70,9866,1.245506776277735,1.0775254462916746,1.43967563373333,0.0033113585227659,,MEOHP,,,,,,,,,mean z-score of 9 non-MCOP phthalate metabolites; minimum 2 measured
MCOP_plus_MEOHP,coexposure,,,9936,70,9866,1.2189287695030402,1.054568411219304,1.4089056047149289,0.0078389497287561,0.0097986871609451,MEOHP,1.2084056787302806,0.9961398385113868,1.4659029063326618,0.0546828444303244,,,,,mean z-score of 9 non-MCOP phthalate metabolites; minimum 2 measured
MCOP_alone_same_CC_MECPP,coexposure,,,9936,70,9866,1.245506776277735,1.0775254462916746,1.43967563373333,0.0033113585227659,,MECPP,,,,,,,,,mean z-score of 9 non-MCOP phthalate metabolites; minimum 2 measured
MCOP_plus_MECPP,coexposure,,,9936,70,9866,1.201828767154976,1.035118893318473,1.395387906533801,0.0162956690276867,0.0162956690276867,MECPP,1.229479078403842,0.9734169078994712,1.5528996794340373,0.082360486721832,,,,,mean z-score of 9 non-MCOP phthalate metabolites; minimum 2 measured
