dataset,cell_line,gene,parental_n,resistant_n,mean_parental,mean_resistant,delta_resistant_minus_parental,p_value,direction
GSE77932,HCT116,ACADVL,1,3,35.34654994,41.46568469666666,6.119134756666661,,up
GSE77932,HCT116,BBOX1,1,3,0.027423376,0.036665019666666666,0.009241643666666667,,up
GSE77932,HCT116,CPT1A,1,3,2.9385548235,2.729922257666667,-0.20863256583333323,,down
GSE77932,HCT116,CPT1B,1,3,0.872663469,1.5458318789999999,0.6731684099999998,,up
GSE77932,HCT116,CPT2,1,3,1.693567043,1.788039135,0.09447209199999995,,up
GSE77932,HCT116,ECHS1,1,3,17.17018049,13.52495041,-3.6452300799999993,,down
GSE77932,HCT116,ETFA,1,3,3.135003601,3.1269587436666666,-0.0080448573333336,,down
GSE77932,HCT116,ETFB,1,3,50.89535187,41.372337683333335,-9.523014186666664,,down
GSE77932,HCT116,ETFDH,1,3,3.286786395,4.0790132476666665,0.7922268526666665,,up
GSE77932,HCT116,FABP6,1,3,1.832334631,0.5703824753333334,-1.2619521556666666,,down
GSE77932,HCT116,HADHA,1,3,3.825964268,3.892150713,0.06618644500000004,,up
GSE77932,HCT116,HADHB,1,3,11.785045241499999,11.929555218833334,0.14450997733333537,,up
GSE77932,HCT116,KLF5,1,3,2.384474906,4.570914771666667,2.186439865666667,,up
GSE77932,HCT116,PPARGC1A,1,3,0.012145267,0.017694908999999998,0.005549641999999999,,up
GSE77932,HCT116,SLC22A5,1,3,1.378175838,1.9407575036666664,0.5625816656666665,,up
GSE77932,HCT116,SLC25A20,1,3,0.582410593,0.8293627603333333,0.24695216733333336,,up
GSE77932,DLD1,ACADVL,1,3,53.71891646,54.07390379666666,0.35498733666666027,,up
GSE77932,DLD1,BBOX1,1,3,0.061197096,0.04722505633333333,-0.013972039666666672,,down
GSE77932,DLD1,CPT1A,1,3,1.8146143344999999,1.8482543285000002,0.033639994000000284,,up
GSE77932,DLD1,CPT1B,1,3,1.481686017,1.3713674073333335,-0.1103186096666664,,down
GSE77932,DLD1,CPT2,1,3,3.194661336,3.150294034,-0.04436730199999994,,down
GSE77932,DLD1,ECHS1,1,3,42.83766682,40.03791270333333,-2.7997541166666693,,down
GSE77932,DLD1,ETFA,1,3,4.484581315,4.61818387,0.1336025550000004,,up
GSE77932,DLD1,ETFB,1,3,63.88925448,89.76920359,25.879949110000005,,up
GSE77932,DLD1,ETFDH,1,3,5.479192536,4.800976053333334,-0.6782164826666666,,down
GSE77932,DLD1,FABP6,1,3,0.073397096,0.08244414499999998,0.009047048999999988,,up
GSE77932,DLD1,HADHA,1,3,6.22771274,5.610554186999999,-0.6171585530000012,,down
GSE77932,DLD1,HADHB,1,3,17.6200459405,17.3250198985,-0.29502604199999993,,down
GSE77932,DLD1,KLF5,1,3,8.266204183,5.4319774359999995,-2.8342267469999998,,down
GSE77932,DLD1,PPARGC1A,1,3,0.014533567,0.016372729666666665,0.0018391626666666647,,up
GSE77932,DLD1,SLC22A5,1,3,2.315481612,2.0555097433333334,-0.25997186866666677,,down
GSE77932,DLD1,SLC25A20,1,3,0.709343191,0.8023047483333334,0.09296155733333344,,up
GSE42387,HCT116,ACADM,3,3,10.448560483333333,10.524528016666666,0.07596753333333339,0.7505386765598718,up
GSE42387,HCT116,ACADVL,3,3,13.44727847,13.924554633333335,0.4772761633333342,0.08211180359994234,up
GSE42387,HCT116,BBOX1,3,3,6.6804318113333325,6.620657359333333,-0.0597744519999992,0.6922878597995027,down
GSE42387,HCT116,CPT1A,3,3,10.284727424666666,10.289231186666665,0.004503761999998801,0.959309432733172,up
GSE42387,HCT116,CPT1B,3,3,8.418481334333334,8.259525553333333,-0.1589557810000013,0.4294073959043219,down
GSE42387,HCT116,CPT2,3,3,10.508859416666667,10.394900853333333,-0.11395856333333398,0.04586304624478809,down
GSE42387,HCT116,ECHS1,3,3,12.86376155,12.661739013333333,-0.20202253666666614,0.09264180701877746,down
GSE42387,HCT116,ETFA,3,3,11.71739727,11.627041186666666,-0.090356083333333,0.5022911835308004,down
GSE42387,HCT116,ETFB,3,3,14.582907059999998,14.404488603333334,-0.17841845666666423,0.1146741829482803,down
GSE42387,HCT116,ETFDH,3,3,10.602977033333334,11.204594893333335,0.6016178600000011,0.0005775422540131452,up
GSE42387,HCT116,FABP6,3,3,8.545104301666667,10.29177456,1.7466702583333333,0.0008047455591468286,up
GSE42387,HCT116,HADHA,3,3,10.16579152,10.079467538000001,-0.08632398199999969,0.366595197485027,down
GSE42387,HCT116,HADHB,3,3,13.156785806666667,12.875442256666666,-0.2813435500000008,0.036259064273933515,down
GSE42387,HCT116,KLF5,3,3,9.9919389,10.241191446666667,0.24925254666666774,0.048434690138127616,up
GSE42387,HCT116,PPARGC1A,3,3,6.597085501,6.542976954,-0.05410854699999934,0.2500334921998696,down
