dataset,cell_line,module,n_genes,parental_n,resistant_n,delta_resistant_minus_parental,p_value,direction
GSE77932,HCT116,carnitine_core,6,1,3,1.0613948285703239,,up
GSE77932,HCT116,fao_core,13,1,3,0.3145415415117081,,up
GSE77932,HCT116,fao_carnitine_combined,16,1,3,0.512163209271471,,up
GSE77932,DLD1,carnitine_core,6,1,3,-0.18842381202470646,,down
GSE77932,DLD1,fao_core,13,1,3,-0.11199454689055705,,down
GSE77932,DLD1,fao_carnitine_combined,16,1,3,-0.13605601944237194,,down
GSE42387,HCT116,carnitine_core,6,3,3,-0.0213444253758159,0.9068848922357492,down
GSE42387,HCT116,fao_core,14,3,3,0.015099651774041767,0.876997489976031,up
GSE42387,HCT116,fao_carnitine_combined,17,3,3,0.029708455246687415,0.8172814092024647,up
GSE42387,HT29,carnitine_core,6,3,3,-0.6538591721301827,0.05330868202926938,down
GSE42387,HT29,fao_core,14,3,3,-0.46905866799002116,0.00407573303181287,down
GSE42387,HT29,fao_carnitine_combined,17,3,3,-0.4525731019600159,0.021107813922380165,down
GSE42387,LoVo,carnitine_core,6,3,3,-0.059981272424475596,0.7518287205758644,down
GSE42387,LoVo,fao_core,14,3,3,0.13173454757139808,0.5473890197645174,up
GSE42387,LoVo,fao_carnitine_combined,17,3,3,0.12138280160495407,0.5520593221910448,up
GSE124808,HCT116_xenograft,carnitine_core,6,1,2,0.5885687724575328,,up
GSE124808,HCT116_xenograft,fao_core,13,1,2,0.08479305451972015,,up
GSE124808,HCT116_xenograft,fao_carnitine_combined,16,1,2,0.13944010765316,,up
GSE119603,HCT116,carnitine_core,6,3,3,-0.14902457279158343,0.4368963057541722,down
GSE119603,HCT116,fao_core,14,3,3,-0.051662682910505534,0.7393870942587544,down
GSE119603,HCT116,fao_carnitine_combined,17,3,3,-0.10755583758038884,0.4289425416295921,down
