contrast_id,dataset,model,module,gene,delta_gene
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_original_matrix,AGXT2,1.95844503118055
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_original_matrix,CDA,1.1587335673826065
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_original_matrix,DCK,1.0775990599845842
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_original_matrix,DPYD,1.151061269955108
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_original_matrix,DPYS,0.3608983159389666
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_original_matrix,NT5C,-2.621227449321352
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_original_matrix,NT5C1A,0.4091794272514201
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_original_matrix,NT5C3A,-2.26712635893945
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_original_matrix,NT5E,0.6469338283047723
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_original_matrix,NT5M,-1.6982368966509034
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_original_matrix,PUDP,-2.1068574269095923
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_original_matrix,TK1,-1.3439161567907616
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_original_matrix,TK2,0.6221291315883327
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_original_matrix,TYMP,-2.2431183335930225
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_original_matrix,UCK1,0.3393094235645052
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_original_matrix,UCK2,-2.53903886054472
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_original_matrix,UCKL1,-0.055100004462490415
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_original_matrix,UPB1,-0.6242331498148175
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_original_matrix,UPP1,-0.5717247285547967
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_original_matrix,UPP2,1.9286451795389934
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_total_previous,AGXT2,1.95844503118055
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_total_previous,CAD,-2.293304189614304
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_total_previous,CDA,1.1587335673826065
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_total_previous,CMPK1,-1.4196217053041136
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_total_previous,CMPK2,1.417121951400894
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_total_previous,CTPS1,-1.632640502833036
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_total_previous,CTPS2,-0.25681322017954733
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_total_previous,DCK,1.0775990599845842
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_total_previous,DCTD,0.42663597425517286
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_total_previous,DCTPP1,-3.0036237282788445
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_total_previous,DHODH,-2.513659330388033
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_total_previous,DPYD,1.151061269955108
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_total_previous,DPYS,0.3608983159389666
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_total_previous,DTYMK,-1.0056409321944724
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_total_previous,DUT,-2.025444234170931
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_total_previous,NME1,-2.620566222338689
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_total_previous,NME2,-2.7488770422015394
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_total_previous,NME3,-2.1209166424846275
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_total_previous,NME4,-2.5387905836201945
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_total_previous,NT5C,-2.621227449321352
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_total_previous,NT5C1A,0.4091794272514201
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_total_previous,NT5C2,1.4328274331099429
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_total_previous,NT5C3A,-2.26712635893945
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_total_previous,NT5E,0.6469338283047723
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_total_previous,NT5M,-1.6982368966509034
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_total_previous,PUDP,-2.1068574269095923
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_total_previous,RRM1,-0.10910455240277062
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_total_previous,RRM2,0.9325660482568108
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_total_previous,RRM2B,-1.228823453400327
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_total_previous,TK1,-1.3439161567907616
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_total_previous,TK2,0.6221291315883327
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_total_previous,TXNRD1,0.07231026321684708
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_total_previous,TYMP,-2.2431183335930225
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_total_previous,TYMS,-1.4283925194252942
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_total_previous,UCK1,0.3393094235645052
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_total_previous,UCK2,-2.53903886054472
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_total_previous,UCKL1,-0.055100004462490415
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_total_previous,UMPS,-2.48019452500157
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_total_previous,UPB1,-0.6242331498148175
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_total_previous,UPP1,-0.5717247285547967
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_total_previous,UPP2,1.9286451795389934
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_de_novo_core,CAD,-2.293304189614304
GSE77932|HCT116,GSE77932,HCT116,pyrimidine_de_novo_core,CTPS1,-1.632640502833036
