drug,signature_id,cell_line,pert_time,pert_dose,persistent_id,tissue,disease
allopurinol,REP.B021_A549_24H_O12_allopurinol_0.01uM,A549,24 h,0.01 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B021_A549_24H_O12_allopurinol_0.01uM.tsv,lung,lung cancer
allopurinol,REP.B021_A549_24H_O11_allopurinol_0.03uM,A549,24 h,0.03 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B021_A549_24H_O11_allopurinol_0.03uM.tsv,lung,lung cancer
allopurinol,REP.A021_A549_24H_O12_allopurinol_0.04uM,A549,24 h,0.04 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.A021_A549_24H_O12_allopurinol_0.04uM.tsv,lung,lung cancer
allopurinol,REP.B021_A549_24H_O10_allopurinol_0.08uM,A549,24 h,0.08 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B021_A549_24H_O10_allopurinol_0.08uM.tsv,lung,lung cancer
allopurinol,REP.B021_HT29_24H_O12_allopurinol_0.01uM,HT29,24 h,0.01 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B021_HT29_24H_O12_allopurinol_0.01uM.tsv,intestine,colon adenocarcinoma
allopurinol,REP.B021_HT29_24H_O11_allopurinol_0.03uM,HT29,24 h,0.03 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B021_HT29_24H_O11_allopurinol_0.03uM.tsv,intestine,colon adenocarcinoma
allopurinol,REP.A021_HT29_24H_O12_allopurinol_0.04uM,HT29,24 h,0.04 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.A021_HT29_24H_O12_allopurinol_0.04uM.tsv,intestine,colon adenocarcinoma
allopurinol,REP.B021_HT29_24H_O10_allopurinol_0.08uM,HT29,24 h,0.08 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B021_HT29_24H_O10_allopurinol_0.08uM.tsv,intestine,colon adenocarcinoma
allopurinol,REP.B021_MCF7_24H_O12_allopurinol_0.01uM,MCF7,24 h,0.01 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B021_MCF7_24H_O12_allopurinol_0.01uM.tsv,breast,breast adenocarcinoma
allopurinol,REP.B021_MCF7_24H_O11_allopurinol_0.03uM,MCF7,24 h,0.03 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B021_MCF7_24H_O11_allopurinol_0.03uM.tsv,breast,breast adenocarcinoma
allopurinol,REP.A021_MCF7_24H_O12_allopurinol_0.04uM,MCF7,24 h,0.04 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.A021_MCF7_24H_O12_allopurinol_0.04uM.tsv,breast,breast adenocarcinoma
allopurinol,REP.B021_MCF7_24H_O10_allopurinol_0.08uM,MCF7,24 h,0.08 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B021_MCF7_24H_O10_allopurinol_0.08uM.tsv,breast,breast adenocarcinoma
allopurinol,REP.B021_PC3_24H_O12_allopurinol_0.01uM,PC3,24 h,0.01 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B021_PC3_24H_O12_allopurinol_0.01uM.tsv,prostate gland,prostate adenocarcinoma
allopurinol,REP.B021_PC3_24H_O11_allopurinol_0.03uM,PC3,24 h,0.03 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B021_PC3_24H_O11_allopurinol_0.03uM.tsv,prostate gland,prostate adenocarcinoma
allopurinol,REP.A021_PC3_24H_O12_allopurinol_0.04uM,PC3,24 h,0.04 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.A021_PC3_24H_O12_allopurinol_0.04uM.tsv,prostate gland,prostate adenocarcinoma
allopurinol,REP.B021_PC3_24H_O10_allopurinol_0.08uM,PC3,24 h,0.08 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B021_PC3_24H_O10_allopurinol_0.08uM.tsv,prostate gland,prostate adenocarcinoma
amlodipine,REP.B004_A549_24H_H12_amlodipine_0.01uM,A549,24 h,0.01 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B004_A549_24H_H12_amlodipine_0.01uM.tsv,lung,lung cancer
amlodipine,REP.B004_A549_24H_H11_amlodipine_0.03uM,A549,24 h,0.03 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B004_A549_24H_H11_amlodipine_0.03uM.tsv,lung,lung cancer
amlodipine,REP.A004_A549_24H_H12_amlodipine_0.04uM,A549,24 h,0.04 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.A004_A549_24H_H12_amlodipine_0.04uM.tsv,lung,lung cancer
amlodipine,REP.B004_A549_24H_H10_amlodipine_0.08uM,A549,24 h,0.08 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B004_A549_24H_H10_amlodipine_0.08uM.tsv,lung,lung cancer
amlodipine,CPC004_HCC515_24H_N08_amlodipine_10uM,HCC515,24 h,10 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_CPC004_HCC515_24H_N08_amlodipine_10uM.tsv,lung,lung cancer
amlodipine,CPC004_HCC515_6H_N08_amlodipine_10uM,HCC515,6 h,10 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_CPC004_HCC515_6H_N08_amlodipine_10uM.tsv,lung,lung cancer
amlodipine,REP.B004_HT29_24H_H12_amlodipine_0.01uM,HT29,24 h,0.01 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B004_HT29_24H_H12_amlodipine_0.01uM.tsv,intestine,colon adenocarcinoma
amlodipine,REP.B004_HT29_24H_H11_amlodipine_0.03uM,HT29,24 h,0.03 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B004_HT29_24H_H11_amlodipine_0.03uM.tsv,intestine,colon adenocarcinoma
amlodipine,REP.A004_HT29_24H_H12_amlodipine_0.04uM,HT29,24 h,0.04 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.A004_HT29_24H_H12_amlodipine_0.04uM.tsv,intestine,colon adenocarcinoma
amlodipine,REP.B004_HT29_24H_H10_amlodipine_0.08uM,HT29,24 h,0.08 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B004_HT29_24H_H10_amlodipine_0.08uM.tsv,intestine,colon adenocarcinoma
amlodipine,REP.B004_MCF7_24H_H12_amlodipine_0.01uM,MCF7,24 h,0.01 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B004_MCF7_24H_H12_amlodipine_0.01uM.tsv,breast,breast adenocarcinoma
amlodipine,REP.B004_MCF7_24H_H11_amlodipine_0.03uM,MCF7,24 h,0.03 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B004_MCF7_24H_H11_amlodipine_0.03uM.tsv,breast,breast adenocarcinoma
amlodipine,REP.A004_MCF7_24H_H12_amlodipine_0.04uM,MCF7,24 h,0.04 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.A004_MCF7_24H_H12_amlodipine_0.04uM.tsv,breast,breast adenocarcinoma
amlodipine,REP.B004_MCF7_24H_H10_amlodipine_0.08uM,MCF7,24 h,0.08 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B004_MCF7_24H_H10_amlodipine_0.08uM.tsv,breast,breast adenocarcinoma
amlodipine,REP.B004_PC3_24H_H12_amlodipine_0.01uM,PC3,24 h,0.01 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B004_PC3_24H_H12_amlodipine_0.01uM.tsv,prostate gland,prostate adenocarcinoma
amlodipine,REP.B004_PC3_24H_H11_amlodipine_0.03uM,PC3,24 h,0.03 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B004_PC3_24H_H11_amlodipine_0.03uM.tsv,prostate gland,prostate adenocarcinoma
amlodipine,REP.A004_PC3_24H_H12_amlodipine_0.04uM,PC3,24 h,0.04 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.A004_PC3_24H_H12_amlodipine_0.04uM.tsv,prostate gland,prostate adenocarcinoma
amlodipine,REP.B004_PC3_24H_H10_amlodipine_0.08uM,PC3,24 h,0.08 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B004_PC3_24H_H10_amlodipine_0.08uM.tsv,prostate gland,prostate adenocarcinoma
atorvastatin,REP.B023_A549_24H_H06_atorvastatin_0.01uM,A549,24 h,0.01 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B023_A549_24H_H06_atorvastatin_0.01uM.tsv,lung,lung cancer
atorvastatin,REP.B023_A549_24H_H05_atorvastatin_0.03uM,A549,24 h,0.03 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B023_A549_24H_H05_atorvastatin_0.03uM.tsv,lung,lung cancer
atorvastatin,REP.A023_A549_24H_H06_atorvastatin_0.04uM,A549,24 h,0.04 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.A023_A549_24H_H06_atorvastatin_0.04uM.tsv,lung,lung cancer
atorvastatin,REP.B023_A549_24H_H04_atorvastatin_0.08uM,A549,24 h,0.08 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B023_A549_24H_H04_atorvastatin_0.08uM.tsv,lung,lung cancer
atorvastatin,CPC006_HCC515_24H_I11_atorvastatin_10uM,HCC515,24 h,10 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_CPC006_HCC515_24H_I11_atorvastatin_10uM.tsv,lung,lung cancer
atorvastatin,CPC006_HCC515_6H_I11_atorvastatin_10uM,HCC515,6 h,10 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_CPC006_HCC515_6H_I11_atorvastatin_10uM.tsv,lung,lung cancer
atorvastatin,CPC020_HCC515_6H_G04_atorvastatin_10uM,HCC515,6 h,10 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_CPC020_HCC515_6H_G04_atorvastatin_10uM.tsv,lung,lung cancer
atorvastatin,REP.B023_HT29_24H_H06_atorvastatin_0.01uM,HT29,24 h,0.01 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B023_HT29_24H_H06_atorvastatin_0.01uM.tsv,intestine,colon adenocarcinoma
atorvastatin,REP.B023_HT29_24H_H05_atorvastatin_0.03uM,HT29,24 h,0.03 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B023_HT29_24H_H05_atorvastatin_0.03uM.tsv,intestine,colon adenocarcinoma
atorvastatin,REP.A023_HT29_24H_H06_atorvastatin_0.04uM,HT29,24 h,0.04 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.A023_HT29_24H_H06_atorvastatin_0.04uM.tsv,intestine,colon adenocarcinoma
atorvastatin,REP.B023_HT29_24H_H04_atorvastatin_0.08uM,HT29,24 h,0.08 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B023_HT29_24H_H04_atorvastatin_0.08uM.tsv,intestine,colon adenocarcinoma
atorvastatin,REP.B023_MCF7_24H_H06_atorvastatin_0.01uM,MCF7,24 h,0.01 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B023_MCF7_24H_H06_atorvastatin_0.01uM.tsv,breast,breast adenocarcinoma
atorvastatin,REP.B023_MCF7_24H_H05_atorvastatin_0.03uM,MCF7,24 h,0.03 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B023_MCF7_24H_H05_atorvastatin_0.03uM.tsv,breast,breast adenocarcinoma
atorvastatin,REP.A023_MCF7_24H_H06_atorvastatin_0.04uM,MCF7,24 h,0.04 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.A023_MCF7_24H_H06_atorvastatin_0.04uM.tsv,breast,breast adenocarcinoma
atorvastatin,REP.B023_MCF7_24H_H04_atorvastatin_0.08uM,MCF7,24 h,0.08 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B023_MCF7_24H_H04_atorvastatin_0.08uM.tsv,breast,breast adenocarcinoma
atorvastatin,REP.B023_PC3_24H_H06_atorvastatin_0.01uM,PC3,24 h,0.01 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B023_PC3_24H_H06_atorvastatin_0.01uM.tsv,prostate gland,prostate adenocarcinoma
atorvastatin,REP.B023_PC3_24H_H05_atorvastatin_0.03uM,PC3,24 h,0.03 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B023_PC3_24H_H05_atorvastatin_0.03uM.tsv,prostate gland,prostate adenocarcinoma
