gene_symbol,uniprot_accession,pdb_id,chain_id,experimental_method,resolution,coverage,unp_start,unp_end
MMP9,P14780,8k5y,A,X-ray diffraction,1.52,0.33,28,444
MMP9,P14780,8k5y,B,X-ray diffraction,1.52,0.33,28,444
MMP9,P14780,6esm,A,X-ray diffraction,1.1,0.22,110,444
MMP9,P14780,5th6,C,X-ray diffraction,1.7,0.31,40,443
MMP9,P14780,5th6,A,X-ray diffraction,1.7,0.31,40,443
MMP9,P14780,5th6,D,X-ray diffraction,1.7,0.31,40,443
MMP9,P14780,5th6,B,X-ray diffraction,1.7,0.3,40,443
MMP9,P14780,5i12,A,X-ray diffraction,1.59,0.22,113,444
MMP9,P14780,5ue3,A,X-ray diffraction,1.6,0.32,35,445
MMP9,P14780,8k5v,B,X-ray diffraction,1.7,0.33,28,444
MMP9,P14780,8k5v,A,X-ray diffraction,1.7,0.33,28,444
MMP9,P14780,5ue3,B,X-ray diffraction,1.6,0.31,35,445
MMP9,P14780,4jij,D,X-ray diffraction,1.7,0.23,107,444
MMP9,P14780,4jij,B,X-ray diffraction,1.7,0.23,107,444
MMP9,P14780,4xct,A,X-ray diffraction,1.3,0.22,113,444
MMP9,P14780,4wzv,A,X-ray diffraction,1.65,0.22,110,444
MMP9,P14780,4wzv,B,X-ray diffraction,1.65,0.22,110,444
MMP9,P14780,8k5x,B,X-ray diffraction,1.9,0.33,28,444
MMP9,P14780,8k5x,A,X-ray diffraction,1.9,0.33,28,444
MMP9,P14780,2ovz,A,X-ray diffraction,2.0,0.22,110,443
MMP9,P14780,2ovz,B,X-ray diffraction,2.0,0.22,110,443
MMP9,P14780,5cuh,B,X-ray diffraction,1.83,0.23,107,444
MMP9,P14780,5cuh,A,X-ray diffraction,1.83,0.23,107,444
MMP9,P14780,5ue4,A,X-ray diffraction,1.8,0.32,35,445
MMP9,P14780,4jqg,D,X-ray diffraction,1.85,0.23,107,444
MMP9,P14780,4jqg,B,X-ray diffraction,1.85,0.23,107,444
MMP9,P14780,2ow1,A,X-ray diffraction,2.2,0.22,110,443
MMP9,P14780,5ue4,B,X-ray diffraction,1.8,0.31,35,445
MMP9,P14780,2ow1,B,X-ray diffraction,2.2,0.22,110,443
MMP9,P14780,2ow0,A,X-ray diffraction,2.0,0.22,110,443
MMP9,P14780,2ow0,B,X-ray diffraction,2.0,0.22,110,443
MMP9,P14780,4h3x,B,X-ray diffraction,1.76,0.23,107,444
MMP9,P14780,4h3x,A,X-ray diffraction,1.76,0.23,107,444
MMP9,P14780,2ovx,B,X-ray diffraction,2.0,0.22,110,443
MMP9,P14780,2ovx,A,X-ray diffraction,2.0,0.22,110,443
MMP9,P14780,1gkd,A,X-ray diffraction,2.1,0.22,107,443
MMP9,P14780,1gkd,B,X-ray diffraction,2.1,0.22,107,443
MMP9,P14780,4h1q,B,X-ray diffraction,1.59,0.23,110,444
MMP9,P14780,4h1q,A,X-ray diffraction,1.59,0.23,110,444
MMP9,P14780,1gkc,B,X-ray diffraction,2.3,0.22,107,443
MMP9,P14780,1gkc,A,X-ray diffraction,2.3,0.22,107,443
MMP9,P14780,4h82,D,X-ray diffraction,1.9,0.23,110,444
MMP9,P14780,4h82,B,X-ray diffraction,1.9,0.23,110,444
MMP9,P14780,4h82,C,X-ray diffraction,1.9,0.23,110,444
MMP9,P14780,4h82,A,X-ray diffraction,1.9,0.23,110,444
MMP9,P14780,4hma,B,X-ray diffraction,1.94,0.23,110,444
MMP9,P14780,4hma,A,X-ray diffraction,1.94,0.23,110,444
MMP9,P14780,8k5w,B,X-ray diffraction,2.0,0.31,28,444
MMP9,P14780,8k5w,A,X-ray diffraction,2.0,0.32,28,444
MMP9,P14780,1itv,B,X-ray diffraction,1.95,0.28,513,707
MMP9,P14780,1itv,A,X-ray diffraction,1.95,0.28,513,707
MMP9,P14780,2ow2,B,X-ray diffraction,2.9,0.22,110,443
MMP9,P14780,2ow2,A,X-ray diffraction,2.9,0.22,110,443
MMP9,P14780,4h2e,A,X-ray diffraction,2.9,0.23,107,444
MMP9,P14780,4h2e,B,X-ray diffraction,2.9,0.23,107,444
MMP9,P14780,5th9,I,X-ray diffraction,3.0,0.31,40,443
MMP9,P14780,5th9,F,X-ray diffraction,3.0,0.31,40,443
MMP9,P14780,5th9,C,X-ray diffraction,3.0,0.31,40,443
MMP9,P14780,1l6j,A,X-ray diffraction,2.5,0.57,20,444
TIMP1,P01033,7s7l,B,X-ray diffraction,2.34,0.85,24,207
TIMP1,P01033,7s7m,B,X-ray diffraction,3.0,0.84,24,207
TIMP1,P01033,9sop,A,X-ray diffraction,1.95,0.86,24,203
TIMP1,P01033,9sop,B,X-ray diffraction,1.95,0.86,24,203
TIMP1,P01033,3ma2,C,X-ray diffraction,2.05,0.57,24,148
TIMP1,P01033,3ma2,D,X-ray diffraction,2.05,0.57,24,148
TIMP1,P01033,9sos,A,X-ray diffraction,2.0,0.85,24,207
TIMP1,P01033,6n9d,B,X-ray diffraction,2.67,0.85,24,207
TIMP1,P01033,3v96,A,X-ray diffraction,1.9,0.79,24,207
TIMP1,P01033,6mav,B,X-ray diffraction,2.37,0.84,24,207
TIMP1,P01033,9soq,B,X-ray diffraction,2.3,0.86,24,207
TIMP1,P01033,2j0t,D,X-ray diffraction,2.54,0.6,24,149
TIMP1,P01033,2j0t,E,X-ray diffraction,2.54,0.6,24,149
TIMP1,P01033,2j0t,F,X-ray diffraction,2.54,0.6,24,149
TIMP1,P01033,9soq,A,X-ray diffraction,2.3,0.87,24,207
TIMP1,P01033,1uea,D,X-ray diffraction,2.8,0.87,24,207
TIMP1,P01033,1uea,B,X-ray diffraction,2.8,0.87,24,207
TIMP1,P01033,1d2b,A,Solution NMR,,0.61,24,149
TIMP1,P01033,1oo9,B,Solution NMR,,0.61,24,149
STAT3,P40763,5ax3,B,X-ray diffraction,2.98,0.02,571,582
STAT3,P40763,5u5s,B,Solution NMR,,0.02,81,92
STAT3,P40763,6tlc,B,X-ray diffraction,2.9,0.69,127,722
STAT3,P40763,6tlc,A,X-ray diffraction,2.9,0.69,127,722
STAT3,P40763,6qhd,A,X-ray diffraction,2.85,0.69,127,715
STAT3,P40763,6qhd,B,X-ray diffraction,2.85,0.69,127,715
STAT3,P40763,6njs,A,X-ray diffraction,2.7,0.68,127,688
STAT3,P40763,6nuq,A,X-ray diffraction,3.15,0.68,127,688
PTGER4,P35408,8gdb,E,Electron Microscopy,3.1,0.58,1,488
PTGER4,P35408,9jqy,C,Electron Microscopy,2.92,0.58,2,366
PTGER4,P35408,9jqz,B,Electron Microscopy,2.65,0.58,2,366
PTGER4,P35408,8gd9,E,Electron Microscopy,3.2,0.57,1,488
PTGER4,P35408,8gda,E,Electron Microscopy,3.3,0.58,1,488
PTGER4,P35408,5ywy,A,X-ray diffraction,3.2,0.57,4,366
PTGER4,P35408,8gcp,E,Electron Microscopy,3.1,0.56,1,488
PTGER4,P35408,8gcm,E,Electron Microscopy,3.5,0.52,1,488
PTGER4,P35408,7d7m,A,Electron Microscopy,3.3,0.58,4,366
PTGER4,P35408,5yhl,A,X-ray diffraction,4.2,0.57,4,366
PTGES3,Q15185,7krj,C,Electron Microscopy,2.56,0.83,1,160
PTGES3,Q15185,9w5i,C,Electron Microscopy,2.63,0.81,1,160
PTGES3,Q15185,7l7j,A,Electron Microscopy,3.1,0.69,1,160
PTGES3,Q15185,7l7i,D,Electron Microscopy,3.3,0.69,1,160
PTGES3,Q15185,1ejf,B,X-ray diffraction,2.49,0.69,1,125
